topic,app,baseline,prioEM,prioEM0RT1,prioEMRT,prioEMRTVS,prioEMRTVSTSAN,dropVS15AN15,dropVS15AN15RT15,dropVS20AN20,dropVS20AN20RT10
firedetection,app23,16.618145847812738,20.25008759392761,3.5415472877081107,2.671310923058021,4.306921037386312,4.469884743377838,18.23633098128219,18.368395773334864,18.040339540547066,18.948090898276927
firedetection,app22,16.472043029635632,19.293941020528504,3.8094202564681052,2.439003068454414,4.579378911769231,4.4124899587060815,17.957495464232533,18.503086837980035,17.63324922446243,18.91156169434205
amazonecho,app14,14.97921226730022,16.898666723839437,23.295267359201624,22.286992338196782,47.44621026292905,5.853919120116069,17.806610404598715,17.421985846232673,16.461778652807105,17.137364060094146
videosurveillance,app46,17.485743623617182,20.458672255221774,25.318945413964816,25.336637977022484,6.878240889505691,6.854357437655963,18.274104909377375,18.889881655193292,18.65121377315384,18.97150908459512
firedetection,app106,17.63531307493444,2.3817197193103246,2.1503539415845,2.6864030216057064,2.475323058180364,2.5225800774989064,18.81135518715958,19.07874285308536,18.044261128455815,19.93424077592361
firedetection,app105,17.834663111640925,2.990482965145957,2.4188033226718297,3.301826005105358,2.055901030804702,2.3722023720879415,18.699337668772984,18.824142605239306,18.49819514092755,19.071123390094236
firedetection,app104,16.75002962496332,2.731250531324544,2.3960250573103528,3.363758146064634,2.1823057843349636,2.692011373408051,18.98484451862589,18.91503635278489,17.845810658872615,19.279925523400262
bms,app8,16.998215080174713,19.23235843162959,23.815774654531513,23.795236227752746,48.49545514124803,57.034593634767276,17.92562419789127,18.037384894270897,18.247428337130437,18.56136083754653
amazonecho,app27,15.50652448910618,16.556998537082574,1.9458933403842729,1.3053789219349408,1.8683904523133124,2.0759700921132973,17.14426736069878,16.958794922073103,16.64382514870791,17.739988073853084
intrusiondetection,app36,16.327309798737293,17.58191016460529,21.98201495175149,22.421004917594246,2.9747440005566896,2.9524793202086292,17.165028427462474,17.551340610977956,17.464211783723908,17.79183652032295
firedetection,app31,16.379189605525273,19.853921145795884,4.04151069538848,2.871438385455761,4.008324347735512,4.3931557915537285,17.953794312332544,18.73278271742991,17.462280373804347,18.12587340086595
amazonecho,app21,14.10691230321551,17.04281988369365,2.170665085277733,1.2362678947742762,1.8289699139429043,2.0799207097580603,16.92634586168315,16.85779226376027,16.748997941562536,17.290255209557245
energymanagement,app3,16.353751408797862,17.42701021423127,21.787500220712637,22.246704352079952,45.751785263060135,54.001176182573666,17.138167080145134,17.32449232679709,17.28153851280783,17.906516549191185
energymanagement,app2,16.08187647445299,17.295830149057927,21.70645657199769,21.88722870201262,45.826790781239325,54.51509176890257,17.423144945135245,17.214946796643037,17.446026180425623,17.64479134999835
energymanagement,app1,16.079091721007085,17.487490282048405,21.868844468940193,22.233840009739936,45.661439663880635,54.19977016962053,17.20176329063353,17.20478465856447,17.37412814714862,17.720619643544293
energymanagement,app7,16.127637913058766,17.422294023599378,21.597294975181367,22.409616181861697,45.599614005946506,54.42893978122705,17.154111820730712,17.272356234043848,17.46953514014863,17.79302724060989
energymanagement,app6,15.977866630695631,17.277567681015288,21.766067581420337,22.2525919438283,45.827201471919935,54.26108586427205,17.13824550427901,17.03714675817767,17.235051586356136,17.70481447685065
energymanagement,app5,16.22796603763087,17.509737736050702,21.783807303813646,22.203850668992562,45.781060003596544,54.45759301882436,17.11100867570037,17.06684039696021,17.265799079002964,17.640639416564124
energymanagement,app4,16.131467341656755,17.751871254752974,21.726960809918953,22.29794591995151,45.19597497363861,53.80145990444639,16.916612326098694,17.33564402370641,17.358138966837497,17.876048848503007
videosurveillance,app39,17.538653504912517,20.47421650487029,25.296667626764794,25.492600937152442,6.939631197348184,6.7878996538689895,18.49026879760909,18.79632825553933,18.463921987308257,18.91416753975267
energymanagement,app8,16.047564094829376,17.38863926141405,21.597583067744065,22.399386449027485,45.642910317893154,54.45595564697369,17.230024141676257,17.265201302288425,17.10498177152455,17.688237408398745
energymanagement,app27,16.23101285448631,17.357440757418573,1.4073785699284684,1.1064876957982372,1.4169648586572678,1.4887788738818482,17.32487801420017,17.196836082683078,17.27031400971842,17.64378449149595
energymanagement,app24,16.116292114107882,17.448110636514414,1.385894740615005,1.048665599580265,1.4245023281683429,1.5409647054294267,17.086558628584577,17.45243558044645,17.3724727096189,17.5727218857352
videosurveillance,app7,17.576186575033937,20.537783549501683,25.25741146162786,25.379898525969246,50.80265064773888,58.66392954955133,18.441243678181124,18.905551574096215,18.609363863117608,18.958211411644516
smartthings,app28,15.739721522812786,17.842858688212225,1.1997630680352447,1.0329426093755694,1.5354973062326636,1.4063709766828347,17.10478262051735,16.798113501886878,17.339062035218596,18.468617326982425
intrusiondetection,app24,16.41407125039137,17.59111487862549,1.2989812038224784,1.0985028164507067,1.27959813984432,1.3682301920485156,17.19769090546299,17.605445220441357,17.664255478348423,17.8546836431864
intrusiondetection,app21,16.513765905162735,17.56007391175755,1.3265542550051714,1.081668482453062,1.261049192369834,1.3227365133790656,17.17929393587486,17.524598644329465,17.506315375266677,17.80227897425147
occupancymanagement,app109,17.394606038747362,1.7507492989917939,1.6651452134677838,2.296262283453748,1.6892055423848311,2.116742646946922,17.89350442824346,17.891592442777895,18.27517609589412,18.395066825867183
amazonecho,app32,14.739763644829509,17.493323917606293,2.196914421278318,1.3049408203375867,1.8281170618103402,2.019519385947506,17.81442976209138,17.433955694048052,16.76475023382585,17.2247537012145
videosurveillance,app26,17.492389235268753,20.46399404222849,5.273882696951461,2.561319518998341,5.226271862328991,5.274764383730585,18.458767244214595,18.781685428029107,18.575438631339242,18.97976247030134
videosurveillance,app103,18.07929781860882,2.9772284402852596,2.916763659357596,3.170404266599465,2.9442602513421927,2.8981885217361234,19.04946857689287,19.286430525183608,19.161264838697214,19.55056202799526
energymanagement,app30,16.006010400212805,17.365868774604888,1.3088883118775183,1.0449997499174115,1.3730292350870588,1.4528779106320753,17.151377017694507,17.11204139994327,17.260331330134854,17.80133572517524
energymanagement,app32,16.09573711161398,17.368179340865264,1.3915896758260853,1.0376444289482123,1.4906044186863248,1.46493177915398,17.07680176062509,17.32239751156797,17.319488464994887,17.58062148845191
intrusiondetection,app41,16.380954303053382,17.595359414058724,21.99613567079873,22.247983597951638,3.0122459996111792,2.9593988005409617,17.164570379367536,17.473064781333136,17.422502029845532,17.780676919769192
intrusiondetection,app40,16.432783071926025,17.5349759541704,21.96339836468751,22.372495025080596,2.967619645891496,2.970553387231035,17.1791875991654,17.736580547863753,17.520142068397075,17.813806873526687
intrusiondetection,app47,16.50347112373562,17.59356322519373,22.00031475534585,22.337922137688118,2.9398428097510716,2.955227975483357,17.16237534652152,17.559620464222014,17.51687888862662,17.78461592296915
intrusiondetection,app45,16.461120912141666,17.596966822809446,22.006091540999844,22.4456776222802,2.9880814557065523,2.9428442190659583,17.20601559602606,17.60736557089415,17.473687191934488,17.82726384104567
